index,ticker,name,cik,sector,sub_industry,industry_group
250,IFF,International Flavors & Fragrances,51253,Materials,Specialty Chemicals,Materials
251,IP,International Paper,51434,Materials,Paper & Plastic Packaging Products & Materials,Materials
252,INTU,Intuit,896878,Information Technology,Application Software,Software & Services
253,ISRG,Intuitive Surgical,1035267,Health Care,Health Care Equipment,Health Care Equipment & Services
254,IVZ,Invesco,914208,Financials,Asset Management & Custody Banks,Financial Services
255,INVH,Invitation Homes,1687229,Real Estate,Single-Family Residential REITs,Equity Real Estate Investment Trusts (REITs)
256,IQV,IQVIA,1478242,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences"
257,IRM,Iron Mountain,1020569,Real Estate,Other Specialized REITs,Equity Real Estate Investment Trusts (REITs)
258,JBHT,J.B. Hunt,728535,Industrials,Cargo Ground Transportation,Transportation
259,JBL,Jabil,898293,Information Technology,Electronic Manufacturing Services,Technology Hardware & Equipment
260,JKHY,Jack Henry & Associates,779152,Financials,Transaction & Payment Processing Services,Financial Services
261,J,Jacobs Solutions,52988,Industrials,Construction & Engineering,Capital Goods
262,JNJ,Johnson & Johnson,200406,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
263,JCI,Johnson Controls,833444,Industrials,Building Products,Capital Goods
264,JPM,JPMorgan Chase,19617,Financials,Diversified Banks,Banks
265,K,Kellanova,55067,Consumer Staples,Packaged Foods & Meats,"Food, Beverage & Tobacco"
266,KVUE,Kenvue,1944048,Consumer Staples,Personal Care Products,Household & Personal Products
267,KDP,Keurig Dr Pepper,1418135,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Food, Beverage & Tobacco"
268,KEY,KeyCorp,91576,Financials,Regional Banks,Banks
269,KEYS,Keysight Technologies,1601046,Information Technology,Electronic Equipment & Instruments,Technology Hardware & Equipment
270,KMB,Kimberly-Clark,55785,Consumer Staples,Household Products,Household & Personal Products
271,KIM,Kimco Realty,879101,Real Estate,Retail REITs,Equity Real Estate Investment Trusts (REITs)
272,KMI,Kinder Morgan,1506307,Energy,Oil & Gas Storage & Transportation,Energy
273,KKR,KKR & Co.,1404912,Financials,Asset Management & Custody Banks,Financial Services
274,KLAC,KLA Corporation,319201,Information Technology,Semiconductor Materials & Equipment,Semiconductors & Semiconductor Equipment
275,KHC,Kraft Heinz,1637459,Consumer Staples,Packaged Foods & Meats,"Food, Beverage & Tobacco"
276,KR,Kroger,56873,Consumer Staples,Food Retail,Consumer Staples Distribution & Retail
277,LHX,L3Harris,202058,Industrials,Aerospace & Defense,Capital Goods
278,LH,Labcorp,920148,Health Care,Health Care Services,Health Care Equipment & Services
279,LRCX,Lam Research,707549,Information Technology,Semiconductor Materials & Equipment,Semiconductors & Semiconductor Equipment
280,LW,Lamb Weston,1679273,Consumer Staples,Packaged Foods & Meats,"Food, Beverage & Tobacco"
281,LVS,Las Vegas Sands,1300514,Consumer Discretionary,Casinos & Gaming,Consumer Services
282,LDOS,Leidos,1336920,Industrials,Diversified Support Services,Commercial & Professional Services
283,LEN,Lennar,920760,Consumer Discretionary,Homebuilding,Consumer Durables & Apparel
284,LII,Lennox International,1069202,Industrials,Building Products,Capital Goods
285,LLY,Lilly (Eli),59478,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
286,LIN,Linde plc,1707925,Materials,Industrial Gases,Materials
287,LYV,Live Nation Entertainment,1335258,Communication Services,Movies & Entertainment,Media & Entertainment
288,LKQ,LKQ Corporation,1065696,Consumer Discretionary,Distributors,Consumer Discretionary Distribution & Retail
